Category,ABNT_Section,ABNT_Name_PT,Proposed_Biblatex_EN,PT_Synonym_unaccented,EN_Synonyms_or_Subfields,Scope,Native,Notes,Decision_OK_or_Change
ENTRY,4.2.12,Documento cartografico,map,cartografico,,DEFER,new,"maps/atlases",
ENTRY,4.2.13,Documento tridimensional,artwork,tridimensional,,DEFER,new,"sculpture/object/model",
ENTRY,4.2.14,Acesso exclusivo em meio eletronico,online,online,,DEFER,std,"website/post/social/email",
FIELD,4.3.1,Autor pessoal/entidade,author,autor,,CORE,std,"surname CAPS at output",
FIELD,4.3.2.10,Organizador/compilador/coordenador,editor,organizador,editortype,CORE,std,"(org.)/(comp.)/(coord.)",
FIELD,4.3.2.10,Tradutor,translator,tradutor,,CORE,std,"rendered Traducao de ...",
FIELD,4.3.2.10,Ilustrador/outros papeis,namea,ilustrador,nameatype,DEFER,new,"other responsibility roles",
FIELD,4.3.3,Titulo,title,titulo,,CORE,std,"bold at output",
FIELD,4.3.3,Subtitulo,subtitle,subtitulo,,CORE,std,"colon separator",
FIELD,4.2.3.4,Titulo do periodico/jornal,journaltitle,periodico,revista;jornal,CORE,std,"bold element of @article",
FIELD,4.2.1.3,Titulo do livro (da parte),booktitle,titulodolivro,,CORE,std,"for incollection/inproceedings",
FIELD,4.2.4,Nome do evento,eventtitle,evento,,CORE,std,"CAPS",
FIELD,4.3.3,Titulo paralelo (outro idioma),titleaddon,tituloparalelo,,DEFER,std,"= separated",
FIELD,4.3.4,Edicao,edition,edicao,,CORE,std,"3. ed.; never 1. ed.",
FIELD,4.3.5.1,Local de publicacao,location,local,,CORE,std,"[S. l.] when absent",
FIELD,4.3.5.2,Editora,publisher,editora,,CORE,std,"[s. n.] when absent",
FIELD,4.3.5.3,Data,date,data,,CORE,std,"ISO date preferred",
FIELD,4.3.5.4,Ano,year,ano,,CORE,std,"synonym of date",
FIELD,4.3.6.1,Total de paginas/folhas,pagetotal,totaldepaginas,,CORE,std,"renders p. or f.",
FIELD,4.3.6.1,Paginas inicial-final,pages,paginas,,CORE,std,"p. 7-16",
FIELD,4.3.6.1,Folhas vs paginas,pagination,paginacao,,CORE,std,"value leaf -> f.",
FIELD,4.3.6.1,Volume,volume,volume,,CORE,std,"",
FIELD,4.3.6.1,Total de volumes,volumes,volumes,,DEFER,std,"2 v.",
FIELD,4.2.3,Numero/fasciculo,number,numero,,CORE,std,"n.",
FIELD,4.3.6.3,Ilustracoes,note,ilustracoes,,DEFER,std,"il./il. color.",
FIELD,4.3.6.4,Dimensoes,addendum,dimensoes,,DEFER,std,"21 cm",
FIELD,4.3.7,Serie/colecao,series,serie,,DEFER,std,"",
FIELD,4.3.7,Numero na serie,number,numerodaserie,,DEFER,std,"within series",
FIELD,4.2.x,Endereco eletronico (URL),url,url,,CORE,std,"renders Disponivel em:",
FIELD,4.1,Data de acesso,urldate,dataacesso,,CORE,std,"renders Acesso em:",
FIELD,4.2.3.5,DOI,doi,doi,,CORE,std,"renders DOI:",
FIELD,4.3.6.2,Tipo de suporte/meio,howpublished,meio,,DEFER,std,"CD/online/social",
FIELD,4.3.8.6,ISSN,issn,issn,,DEFER,std,"periodicals",
FIELD,4.3.8.6,ISBN,isbn,isbn,,DEFER,std,"monographs",
FIELD,4.3.8.3,Tipo de trabalho academico,type,tipo,,CORE,std,"Dissertacao/Tese/TCC",
FIELD,4.3.8.3,Grau + curso,type-or-macro,grau,,CORE,new,"(Mestrado em ...)",
FIELD,4.3.8.3,Vinculacao academica,institution,instituicao,school,CORE,std,"unit + university",
FIELD,4.3.8.1,Traducao de (original),origtitle,traducaode,origlanguage,DEFER,std,"Traducao de: ...",
FIELD,4.3.8,Nota livre,note,nota,addendum,CORE,std,"free note, no highlight",
FIELD,4.2.2,Destinatario (carta),recipient,destinatario,,DEFER,new,"renders Destinatario:",
FIELD,4.2.5,Depositante (patente),holder,depositante,,DEFER,std,"patent applicant",
FIELD,4.2.5,Procurador (patente),agent,procurador,,DEFER,new,"patent agent",
FIELD,4.2.3.1,Periodicidade,note,periodicidade,,DEFER,std,"Mensal/Trimestral",
